sample_id,sample_amt,type,station,season,date,tod,julian_day,time,ctd_cast,bottle,light_depth,depth,volume,lat,lon,province_no,province_name,province_code,sigma_theta,pressure,temperature,conductivity,salinity,oxygen,transmission,attenuance,fluorescence,par,nitrite,nitrate_nitrite,nitrate,silicate,phosphate
B-8,1NR1007,DNA,STN1,Autumn,Sep 21 2015,NOON,264,0.562824074,7,10 11,1,75,11.5,43.71193,-16.77911,44,N Atlantic Drift,NADR,26.70775,75.748,13.876625,4.25309775,35.6368,225.0505,92.20305,0.3247,0.216,4.61975,0.13,3.85,3.72,1.15,0.29
B-90,55DR1076,RNA,STN7,Spring,Oct 30 2015,DAWN,303,06:37:50,76,19,55,9,5,-41.67789,-42.22989,52,S Subtropical Convergence,SSTC,26.48985,9.839,11.6297,3.942593,34.78175,260.292,90.0849,0.4177,0.4314,0.19846,NA,6.26,NA,1.81,0.55
B-91,55NR1067,RNA,STN6,ST/Spring,Oct 25 2015,NOON,298,14:52:50,67,19,55,20,7.55,-29.40568,-26.21178,38,South Atlantic Gyral,SATL,25.7287,20.936,19.1995,4.8302895,35.9913,218.827,92.1219,0.3282,0.0273,155.8,0.01,0.02,0.01,1.02,0.1
B-92,97NR1077,RNA,STN7,Spring,Oct 30 2015,NOON,303,15:44:32,77,24,97,5,5,-42.72272,-43.69933,52,S Subtropical Convergence,SSTC,26.39535,6.074,11.1809,3.876758,34.5538,263.206,90.3197,0.4073,0.1467,293.67,NA,NA,NA,NA,NA
B-93,55NR1077,RNA,STN7,Spring,Oct 30 2015,NOON,303,15:42:15,77,20,55,10,5,-42.72272,-43.69933,52,S Subtropical Convergence,SSTC,26.4012,9.84,11.14905,3.8739175,34.5538,262.579,90.3418,0.4063,0.1741,166.42,NA,NA,NA,NA,NA
B-94,1NR1077,RNA,STN7,Spring,Oct 30 2015,NOON,303,15:33:49,77,11,1,70,5.5,-42.72272,-43.69933,52,S Subtropical Convergence,SSTC,26.5279,71.47,10.5017,3.816885,34.5662,262.156,91.671,0.3479,0.2332,4.1399,NA,NA,NA,NA,NA
B-95,97DR1080,RNA,STN8,Spring,Nov 2 2015,DAWN,306,07:45:15,80,24,97,5,7.5,-48.8725,-53.10701,52,S Subtropical Convergence,SSTC,27.0038,7.136,4.6536,3.237923,34.1039,305.058,89.0855,0.4623,0.4256,0.55997,NA,22.11,NA,9.19,1.5
B-96,55DR1080,RNA,STN8,Spring,Nov 2 2015,DAWN,306,07:44:01,80,20,55,10,7.5,-48.8725,-53.10701,52,S Subtropical Convergence,SSTC,27.0037,12.075,4.65215,3.2379905,34.1035,305.001,89.0754,0.4627,0.4214,0.23153,NA,22.43,NA,9.27,1.52
B-97,1DR1080,RNA,STN8,Spring,Nov 2 2015,DAWN,306,07:36:42,80,11,1,70,8.5,-48.8725,-53.10701,52,S Subtropical Convergence,SSTC,27.0274,72.133,4.4402,3.222035,34.1037,302.188,90.4778,0.4003,0.3453,0.00015968,NA,22.5,NA,9.56,1.55
B-98,97NR1081,RNA,STN8,Spring,Nov 2 2015,NOON,306,16:55:30,81,24,97,5,6,-49.77653,-54.50911,21,SW Atlantic Shelves,FKLD,26.9446,6.95,5.0629,3.272701,34.08745,304.483,90.2537,0.4102,0.1082,342.43,NA,18.09,NA,4.02,1.2
B-99,55NR1081,RNA,STN8,Spring,Nov 2 2015,NOON,306,16:52:02,81,20,55,10,6,-49.77653,-54.50911,21,SW Atlantic Shelves,FKLD,26.9453,10.51,5.054,3.2720345,34.087,304.258,90.2713,0.4094,0.1098,358.89,NA,18.36,NA,4.04,1.2
B-9,97DR2012,DNA,STN2,Autumn,Sep 24 2015,DAWN,267,04:37:54,12,24,97,2,9,37.68873,-25.05884,45,N Atlantic Subtropical Gyral E,NASTE,24.99075,2.93,22.8673,5.258717,36.34245,208.342,92.1768,0.3258,0.0463,1.201,0.01,0.02,0.01,0.81,0.02
